,,,"Fundamental Dimensions",,,"Theoretical Gore: closed mouth, no vent",,,,,"Practical Gore, with mouth and vent removed",,,,"Practical Gore, with mouth and vent removed",,,,,"Theoretical Surface with Parachute",,,,"Actual cloth needed, without parachute",,,,"Geometrically Calculated Conical Volume",,,,,,,,,,,
,,,,,,"(No seam allowance.)",,,,,"(No seam allowance)",,,,"(Seam allowance added for cutting.)",,,,,"Surface of Balloon",,,,"Total Fabric Needed",,,,"Volume",,,,"For Plotting a Single Gore",,,,,"For Plotting Balloon Profile",,
"factor","factor","Station","Radius","Diameter","Circumference","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","sum of three","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Full Gore","Half Gore","Tri-Gore Center","Tri-Gore Side","Actual Gore Length","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Total Gore Width(s)","vertical measurement","sq in","total sq ft","Pythagorus Pre-calc","Z measurement","total Z distance","volume","station","curved +","curved -","straight +","straight -","z dimension","curved +","curved -"
"Axial_Factor","Radial_Factor","Axial","Radial","Diameter","Circumference",,"Sewn_Size",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.40,0.28316,35.9 ft,25.4 ft,50.8 ft,1916.9 in,79.9 in,39.9 in,62.8 in,8.6 in,79.9 in,79.9 in,39.9 in,62.8 in,8.6 in,82.1 in,42.2 in,65.0 in,10.8 in,21.5 in,79.9 in,21.5 in,1750.9 in,292 sq ft,82.1 in,21.5 in,"1,799 sq in",300 sq ft,2.5 ft,1.6 ft,22.1 ft,3291.0 cu ft,430.98,41.06,-41.06,0.00,0.00,22.09,25.42,-25.42
0.38,0.27251,34.1 ft,24.5 ft,48.9 ft,1844.8 in,76.9 in,38.4 in,62.8 in,7.1 in,76.9 in,76.9 in,38.4 in,62.8 in,7.1 in,79.1 in,40.7 in,65.0 in,9.3 in,21.5 in,76.9 in,21.5 in,1688.8 in,281 sq ft,79.1 in,21.5 in,"1,737 sq in",290 sq ft,2.3 ft,1.5 ft,20.5 ft,2971.9 cu ft,409.43,39.56,-39.56,0.00,0.00,20.53,24.47,-24.47
0.36,0.26109,32.3 ft,23.4 ft,46.9 ft,1767.5 in,73.6 in,36.8 in,62.8 in,5.4 in,73.6 in,73.6 in,36.8 in,62.8 in,5.4 in,75.9 in,39.1 in,65.0 in,7.7 in,21.5 in,73.6 in,21.5 in,1621.7 in,270 sq ft,75.9 in,21.5 in,"1,670 sq in",278 sq ft,2.2 ft,1.5 ft,19.0 ft,2658.1 cu ft,387.88,37.95,-37.95,0.00,0.00,19.01,23.44,-23.44
0.34,0.24900,30.5 ft,22.4 ft,44.7 ft,1685.7 in,70.2 in,35.1 in,62.8 in,3.7 in,70.2 in,70.2 in,35.1 in,62.8 in,3.7 in,72.5 in,37.4 in,65.0 in,6.0 in,21.5 in,70.2 in,21.5 in,1550.3 in,258 sq ft,72.5 in,21.5 in,"1,599 sq in",266 sq ft,2.0 ft,1.4 ft,17.5 ft,2357.1 cu ft,366.33,36.24,-36.24,0.00,0.00,17.53,22.36,-22.36
0.32,0.23633,28.7 ft,21.2 ft,42.4 ft,1599.9 in,66.7 in,33.3 in,62.8 in,2.0 in,66.7 in,66.7 in,33.3 in,62.8 in,2.0 in,68.9 in,35.6 in,65.0 in,4.2 in,21.5 in,66.7 in,21.5 in,1475.0 in,246 sq ft,68.9 in,21.5 in,"1,523 sq in",254 sq ft,1.9 ft,1.4 ft,16.1 ft,2072.7 cu ft,344.78,34.46,-34.46,0.00,0.00,16.10,21.22,-21.22
0.30,0.22317,26.9 ft,20.0 ft,40.1 ft,1510.8 in,63.0 in,31.5 in,62.8 in,0.1 in,63.0 in,63.0 in,31.5 in,62.8 in,0.1 in,65.2 in,33.7 in,65.0 in,2.4 in,21.5 in,63.0 in,21.5 in,1396.5 in,233 sq ft,65.2 in,21.5 in,"1,445 sq in",241 sq ft,1.8 ft,1.4 ft,14.7 ft,1808.2 cu ft,323.23,32.60,-32.60,0.00,0.00,14.71,20.04,-20.04
0.28,0.20959,25.1 ft,18.8 ft,37.6 ft,1418.9 in,59.1 in,29.6 in,59.1 in,0.0 in,59.1 in,59.1 in,29.6 in,59.1 in,0.0 in,61.4 in,31.8 in,61.4 in,0.0 in,21.5 in,59.1 in,21.5 in,1315.2 in,219 sq ft,61.4 in,21.5 in,"1,364 sq in",227 sq ft,1.7 ft,1.3 ft,13.4 ft,1563.8 cu ft,301.68,30.68,-30.68,0.00,0.00,13.36,18.82,-18.82
0.26,0.19564,23.3 ft,17.6 ft,35.1 ft,1324.4 in,55.2 in,27.6 in,55.2 in,0.0 in,55.2 in,55.2 in,27.6 in,55.2 in,0.0 in,57.4 in,29.8 in,57.4 in,0.0 in,21.5 in,55.2 in,21.5 in,1231.6 in,205 sq ft,57.4 in,21.5 in,"1,280 sq in",213 sq ft,1.7 ft,1.3 ft,12.0 ft,1338.5 cu ft,280.14,28.72,-28.72,0.00,0.00,12.04,17.57,-17.57
0.24,0.18139,21.5 ft,16.3 ft,32.6 ft,1228.0 in,51.2 in,25.6 in,51.2 in,0.0 in,51.2 in,51.2 in,25.6 in,51.2 in,0.0 in,53.4 in,27.8 in,53.4 in,0.0 in,21.5 in,51.2 in,21.5 in,1145.9 in,191 sq ft,53.4 in,21.5 in,"1,194 sq in",199 sq ft,1.6 ft,1.3 ft,10.8 ft,1134.6 cu ft,258.59,26.71,-26.71,0.00,0.00,10.76,16.29,-16.29
0.22,0.16689,19.8 ft,15.0 ft,30.0 ft,1129.8 in,47.1 in,23.5 in,47.1 in,0.0 in,47.1 in,47.1 in,23.5 in,47.1 in,0.0 in,49.3 in,25.8 in,49.3 in,0.0 in,21.5 in,47.1 in,21.5 in,1058.5 in,176 sq ft,49.3 in,21.5 in,"1,107 sq in",184 sq ft,1.5 ft,1.2 ft,9.5 ft,950.5 cu ft,237.04,24.66,-24.66,0.00,0.00,9.50,14.98,-14.98
